table_name,table_description,column_name&description
MH_RO_HDR_DETAILS,Contains Repair Order header details,PARTS_BASC_AMNT (NUMERIC) NULLABLE: Parts Basic Amount
MH_RO_HDR_DETAILS,Contains Repair Order header details,LABR_BASC_AMNT (NUMERIC) NULLABLE: Labour Basic Amount
MH_RO_HDR_DETAILS,Contains Repair Order header details,SA_EMPLY_NAME (STRING) NULLABLE: Service Advisor Employee Name
MH_RO_HDR_DETAILS,Contains Repair Order header details,PROMSD_DELVRY_DATE (DATE) NULLABLE: Promised Delivery Date
MH_RO_HDR_DETAILS,Contains Repair Order header details,REVSD_PROMSD_DELVRY_DATE (DATE) NULLABLE: Revised Promised Delivery Date
MH_RO_HDR_DETAILS,Contains Repair Order header details,REVST_IND (STRING) NULLABLE: Revisit Indicator
MH_RO_HDR_DETAILS,Contains Repair Order header details,MODL_CD (STRING) NULLABLE: Model Code
MH_RO_HDR_DETAILS,Contains Repair Order header details,SV_RO_BILL_HDR_SK (INTEGER) NULLABLE: Service RO Bill Header SK
MH_RO_HDR_DETAILS,Contains Repair Order header details,ONLNE_PAYMNT_FLG (STRING) NULLABLE: Online Payment Flag
MH_RO_HDR_DETAILS,Contains Repair Order header details,SEGMNT_CD (STRING) NULLABLE: Segment Code
MH_RO_HDR_DETAILS,Contains Repair Order header details,EXPRS_SERVC_IND (STRING) NULLABLE: Express Service Indicator
MH_RO_HDR_DETAILS,Contains Repair Order header details,CHAS_NUMBR (STRING) NULLABLE: Chassis Number
MH_RO_HDR_DETAILS,Contains Repair Order header details,KEY_ACNT_SEGMNT (STRING) NULLABLE: Key Account Segment
MH_RO_HDR_DETAILS,Contains Repair Order header details,GOVT_VEHCL (STRING) NULLABLE: Government Vehicle
MH_RO_HDR_DETAILS,Contains Repair Order header details,COLR_CD (STRING) NULLABLE: Color Code
MH_RO_HDR_DETAILS,Contains Repair Order header details,OEM_MODL_CD (STRING) NULLABLE: OEM Model Code
MH_RO_HDR_DETAILS,Contains Repair Order header details,PRODCT_DIVSN (STRING) NULLABLE: Product Division
MH_RO_HDR_DETAILS,Contains Repair Order header details,PART_CHARG_AMNT (NUMERIC) NULLABLE: Part Charge Amount
MH_RO_HDR_DETAILS,Contains Repair Order header details,LABR_CHARG_AMNT (NUMERIC) NULLABLE: Labour Charge Amount
MH_RO_HDR_DETAILS,Contains Repair Order header details,SDD_FLAG (STRING) NULLABLE: SDD Flag
MH_RO_HDR_DETAILS,Contains Repair Order header details,RO_GT_72 (STRING) NULLABLE: RO Greater Than 72 Hours
MH_RO_HDR_DETAILS,Contains Repair Order header details,RO_LT_ET_72 (STRING) NULLABLE: RO Less Than or Equal To 72 Hours
MH_RO_HDR_DETAILS,Contains Repair Order header details,RO_LT_ET_48 (STRING) NULLABLE: RO Less Than or Equal To 48 Hours
MH_RO_HDR_DETAILS,Contains Repair Order header details,RO_LT_ET_24 (STRING) NULLABLE: RO Less Than or Equal To 24 Hours
MH_RO_HDR_DETAILS,Contains Repair Order header details,RO_CLOSE_DIFF (INTEGER) NULLABLE: RO Close Difference
MH_RO_HDR_DETAILS,Contains Repair Order header details,TEA_FLAG (STRING) NULLABLE: TEA Flag
MH_RO_HDR_DETAILS,Contains Repair Order header details,CEA_FLAG (STRING) NULLABLE: CEA Flag
MH_RO_HDR_DETAILS,Contains Repair Order header details,FLAG_MTRAQ (STRING) NULLABLE: MTRAQ Flag
MH_RO_HDR_DETAILS,Contains Repair Order header details,M1_M2_M3_M4 (STRING) NULLABLE: M1 M2 M3 M4
MH_RO_HDR_DETAILS,Contains Repair Order header details,KEY (STRING) NULLABLE: Key
MH_RO_HDR_DETAILS,Contains Repair Order header details,RO_KEY (STRING) NULLABLE: RO Key
MH_RO_HDR_DETAILS,Contains Repair Order header details,KEY_EMP (STRING) NULLABLE: Key Employee
MH_RO_HDR_DETAILS,Contains Repair Order header details,KEY_BAY (STRING) NULLABLE: Key Bay
MH_RO_HDR_DETAILS,Contains Repair Order header details,RO_Day_Closed (INTEGER) NULLABLE: RO Day Closed
MH_RO_HDR_DETAILS,Contains Repair Order header details,ORGNL_WARNTY_START_DATE (DATE) NULLABLE: Original Warranty Start Date
MH_RO_HDR_DETAILS,Contains Repair Order header details,RSA_REGSTRTN_STATS (STRING) NULLABLE: RSA Registration Status
MH_RO_HDR_DETAILS,Contains Repair Order header details,MAX_TO_DAYS_FRM_DOS (INTEGER) NULLABLE: Max TO Days from DOS
MH_RO_HDR_DETAILS,Contains Repair Order header details,Arrived_date_for_Eligibility (DATE) NULLABLE: Arrived Date for Eligibility
MH_RO_HDR_DETAILS,Contains Repair Order header details,RSA_Registartion_Flag (STRING) NULLABLE: RSA Registration Flag
MH_RO_HDR_DETAILS,Contains Repair Order header details,RSA_EXPRY_DATE (DATE) NULLABLE: RSA Expiry Date
MH_RO_HDR_DETAILS,Contains Repair Order header details,Eligible_Vehicle_Flag (STRING) NULLABLE: Eligible Vehicle Flag
MH_RO_HDR_DETAILS,Contains Repair Order header details,ORGNL_WARNTY_EXPRY_DATE (DATE) NULLABLE: Original Warranty Expiry Date
MH_RO_HDR_DETAILS,Contains Repair Order header details,ORGNL_WARNTY_EXPRY_KM (INTEGER) NULLABLE: Original Warranty Expiry KM
MH_RO_HDR_DETAILS,Contains Repair Order header details,Warranty_Flag (STRING) NULLABLE: Warranty Flag
MH_RO_HDR_DETAILS,Contains Repair Order header details,VALID_TO (DATE) NULLABLE: Valid To
